WT 0.1M sucrose	
803.5	0.609
804	0.606
804.5	0.598
805	0.596
805.5	0.598
806	0.594
806.5	0.599
807	0.602
807.5	0.611
808	0.604
808.5	0.593
809	0.587
809.5	0.582
810	0.583
810.5	0.577
811	0.568
811.5	0.577
812	0.586
812.5	0.591
813	0.596
813.5	0.594
814	0.588
814.5	0.583
815	0.58
815.5	0.572
816	0.569
816.5	0.578
817	0.58
817.5	0.576
818	0.586
818.5	0.584
819	0.579
819.5	0.577
820	0.578
820.5	0.575
821	0.572
821.5	0.576
822	0.575
822.5	0.571
823	0.576
823.5	0.586
824	0.594
824.5	0.595
825	0.594
825.5	0.589
826	0.58
826.5	0.576
827	0.568
827.5	0.561
828	0.56
828.5	0.562
829	0.563
829.5	0.562
830	0.561
830.5	0.568
831	0.577
831.5	0.585
832	0.585
832.5	0.586
833	0.575
833.5	0.561
834	0.547
834.5	0.536
835	0.528
835.5	0.531
836	0.534
836.5	0.543
837	0.555
837.5	0.569
838	0.579
838.5	0.582
839	0.583
839.5	0.585
840	0.581
840.5	0.573
841	0.57
841.5	0.567
842	0.558
842.5	0.551
843	0.546
843.5	0.551
844	0.547
844.5	0.537
845	0.534
845.5	0.54
846	0.544
846.5	0.543
847	0.544
847.5	0.546
848	0.55
848.5	0.563
849	0.556
849.5	0.548
850	0.542
	
	
WT 0.0035M trehalose	
4/4/2023 5:39 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	10.549
190.5	10.9
191	11.016
191.5	11.139
192	11.236
192.5	11.23
193	11.189
193.5	11.349
194	11.426
194.5	11.581
195	11.777
195.5	12.024
196	12.1
196.5	12.215
197	12.264
197.5	12.156
198	12.15
198.5	12.193
199	12.25
199.5	12.315
200	12.392
200.5	12.413
201	12.476
201.5	12.585
202	12.674
202.5	12.767
203	12.859
203.5	13.047
204	13.2
204.5	13.183
205	13.154
205.5	13.182
206	13.255
206.5	13.263
207	13.258
207.5	13.218
208	13.108
208.5	13.093
209	12.906
209.5	12.7
210	12.502
210.5	12.366
211	12.208
211.5	11.983
212	11.752
212.5	11.512
213	11.27
213.5	11.043
214	10.733
214.5	10.443
215	10.155
215.5	9.914
216	9.628
216.5	9.315
217	9.044
217.5	8.783
218	8.502
218.5	8.232
219	7.96
219.5	7.708
220	7.462
220.5	7.218
221	6.984
221.5	6.77
222	6.566
222.5	6.347
223	6.127
223.5	5.908
224	5.708
224.5	5.503
225	5.31
225.5	5.118
226	4.935
226.5	4.755
227	4.593
227.5	4.44
228	4.303
228.5	4.188
229	4.092
229.5	4
230	3.922
230.5	3.839
231	3.758
231.5	3.674
232	3.593
232.5	3.518
233	3.435
233.5	3.36
234	3.292
234.5	3.229
235	3.172
235.5	3.117
236	3.071
236.5	3.036
237	3.006
237.5	2.98
238	2.948
238.5	2.92
239	2.897
239.5	2.873
240	2.851
240.5	2.824
241	2.801
241.5	2.784
242	2.768
242.5	2.755
243	2.737
243.5	2.72
244	2.713
244.5	2.704
245	2.7
245.5	2.695
246	2.694
246.5	2.693
247	2.692
247.5	2.692
248	2.686
248.5	2.678
249	2.677
249.5	2.681
250	2.684
250.5	2.687
251	2.686
251.5	2.689
252	2.689
252.5	2.688
253	2.685
253.5	2.683
254	2.683
254.5	2.682
255	2.681
255.5	2.681
256	2.682
256.5	2.687
257	2.685
257.5	2.681
258	2.681
258.5	2.679
259	2.675
259.5	2.669
260	2.666
260.5	2.663
261	2.66
261.5	2.662
262	2.656
262.5	2.66
263	2.663
263.5	2.668
264	2.67
264.5	2.67
265	2.671
265.5	2.669
266	2.666
266.5	2.662
267	2.658
267.5	2.662
268	2.661
268.5	2.658
269	2.653
269.5	2.65
270	2.652
270.5	2.652
271	2.654
271.5	2.651
272	2.653
272.5	2.653
273	2.65
273.5	2.645
274	2.638
274.5	2.634
275	2.633
275.5	2.635
276	2.64
276.5	2.638
277	2.641
277.5	2.644
278	2.644
278.5	2.643
279	2.639
279.5	2.634
280	2.63
280.5	2.627
281	2.622
281.5	2.617
282	2.612
282.5	2.611
283	2.609
283.5	2.605
284	2.606
284.5	2.601
285	2.597
285.5	2.594
286	2.589
286.5	2.582
287	2.57
287.5	2.565
288	2.561
288.5	2.558
289	2.557
289.5	2.555
290	2.558
290.5	2.559
291	2.555
291.5	2.544
292	2.536
292.5	2.536
293	2.533
293.5	2.527
294	2.523
294.5	2.524
295	2.522
295.5	2.519
296	2.513
296.5	2.507
297	2.505
297.5	2.507
298	2.503
298.5	2.498
299	2.495
299.5	2.495
300	2.492
300.5	2.487
301	2.482
301.5	2.479
302	2.477
302.5	2.477
303	2.475
303.5	2.47
304	2.471
304.5	2.474
305	2.474
305.5	2.469
306	2.466
306.5	2.462
307	2.463
307.5	2.461
308	2.459
308.5	2.45
309	2.446
309.5	2.439
310	2.433
310.5	2.426
311	2.421
311.5	2.417
312	2.418
312.5	2.42
313	2.422
313.5	2.423
314	2.419
314.5	2.417
315	2.416
315.5	2.415
316	2.414
316.5	2.409
317	2.41
317.5	2.409
318	2.41
318.5	2.406
319	2.403
319.5	2.4
320	2.394
320.5	2.389
321	2.385
321.5	2.381
322	2.38
322.5	2.378
323	2.377
323.5	2.372
324	2.373
324.5	2.369
325	2.369
325.5	2.37
326	2.372
326.5	2.371
327	2.369
327.5	2.362
328	2.358
328.5	2.356
329	2.354
329.5	2.353
330	2.356
330.5	2.36
331	2.362
331.5	2.361
332	2.361
332.5	2.36
333	2.362
333.5	2.359
334	2.354
334.5	2.351
335	2.35
335.5	2.352
336	2.347
336.5	2.345
337	2.347
337.5	2.346
338	2.346
338.5	2.344
339	2.343
339.5	2.344
340	2.348
340.5	2.351
341	2.348
341.5	2.344
342	2.341
342.5	2.335
343	2.33
343.5	2.324
344	2.325
344.5	2.325
345	2.326
345.5	2.328
346	2.327
346.5	2.327
347	2.326
347.5	2.324
348	2.322
348.5	2.319
349	2.321
349.5	2.317
350	2.31
350.5	2.304
351	2.299
351.5	2.297
352	2.296
352.5	2.299
353	2.303
353.5	2.304
354	2.307
354.5	2.306
355	2.303
355.5	2.3
356	2.295
356.5	2.289
357	2.287
357.5	2.284
358	2.281
358.5	2.28
359	2.276
359.5	2.274
360	2.272
360.5	2.271
361	2.267
361.5	2.264
362	2.264
362.5	2.264
363	2.264
363.5	2.267
364	2.266
364.5	2.269
365	2.268
365.5	2.27
366	2.273
366.5	2.273
367	2.274
367.5	2.27
368	2.266
368.5	2.261
369	2.259
369.5	2.252
370	2.248
370.5	2.247
371	2.245
371.5	2.243
372	2.244
372.5	2.244
373	2.243
373.5	2.245
374	2.248
374.5	2.248
375	2.248
375.5	2.25
376	2.25
376.5	2.25
377	2.251
377.5	2.256
378	2.255
378.5	2.257
379	2.257
379.5	2.26
380	2.26
380.5	2.264
381	2.261
381.5	2.258
382	2.255
382.5	2.25
383	2.243
383.5	2.239
384	2.237
384.5	2.237
385	2.238
385.5	2.241
386	2.244
386.5	2.249
387	2.25
387.5	2.248
388	2.247
388.5	2.248
389	2.248
389.5	2.248
390	2.246
390.5	2.247
391	2.248
391.5	2.245
392	2.243
392.5	2.237
393	2.234
393.5	2.232
394	2.232
394.5	2.235
395	2.234
395.5	2.235
396	2.235
396.5	2.232
397	2.23
397.5	2.227
398	2.225
398.5	2.223
399	2.224
399.5	2.226
400	2.226
400.5	2.226
401	2.226
401.5	2.222
402	2.22
402.5	2.217
403	2.212
403.5	2.208
404	2.208
404.5	2.21
405	2.211
405.5	2.212
406	2.217
406.5	2.221
407	2.22
407.5	2.221
408	2.223
408.5	2.221
409	2.217
409.5	2.214
410	2.21
410.5	2.21
411	2.216
411.5	2.221
412	2.222
412.5	2.229
413	2.234
413.5	2.236
414	2.233
414.5	2.231
415	2.231
415.5	2.234
416	2.24
416.5	2.243
417	2.243
417.5	2.242
418	2.243
418.5	2.242
419	2.237
419.5	2.235
420	2.235
420.5	2.234
421	2.238
421.5	2.242
422	2.241
422.5	2.242
423	2.243
423.5	2.243
424	2.243
424.5	2.245
425	2.246
425.5	2.246
426	2.248
426.5	2.252
427	2.251
427.5	2.251
428	2.25
428.5	2.256
429	2.261
429.5	2.263
430	2.266
430.5	2.267
431	2.266
431.5	2.269
432	2.268
432.5	2.269
433	2.271
433.5	2.277
434	2.279
434.5	2.277
435	2.279
435.5	2.279
436	2.276
436.5	2.275
437	2.277
437.5	2.28
438	2.286
438.5	2.293
439	2.298
439.5	2.3
440	2.301
440.5	2.303
441	2.302
441.5	2.302
442	2.302
442.5	2.303
443	2.307
443.5	2.309
444	2.309
444.5	2.309
445	2.308
445.5	2.309
446	2.307
446.5	2.305
447	2.302
447.5	2.298
448	2.297
448.5	2.297
449	2.295
449.5	2.298
450	2.296
450.5	2.294
451	2.29
451.5	2.287
452	2.284
452.5	2.281
453	2.28
453.5	2.28
454	2.28
454.5	2.276
455	2.271
455.5	2.267
456	2.262
456.5	2.26
457	2.254
457.5	2.249
458	2.242
458.5	2.237
459	2.234
459.5	2.23
460	2.226
460.5	2.227
461	2.228
461.5	2.229
462	2.229
462.5	2.228
463	2.226
463.5	2.222
464	2.22
464.5	2.22
465	2.218
465.5	2.217
466	2.212
466.5	2.208
467	2.206
467.5	2.206
468	2.204
468.5	2.2
469	2.2
469.5	2.203
470	2.203
470.5	2.203
471	2.201
471.5	2.199
472	2.193
472.5	2.19
473	2.187
473.5	2.186
474	2.187
474.5	2.189
475	2.19
475.5	2.193
476	2.192
476.5	2.189
477	2.183
477.5	2.178
478	2.173
478.5	2.171
479	2.167
479.5	2.167
480	2.166
480.5	2.167
481	2.166
481.5	2.164
482	2.158
482.5	2.153
483	2.149
483.5	2.151
484	2.151
484.5	2.152
485	2.153
485.5	2.155
486	2.156
486.5	2.156
487	2.152
487.5	2.151
488	2.153
488.5	2.152
489	2.15
489.5	2.151
490	2.151
490.5	2.149
491	2.147
491.5	2.147
492	2.143
492.5	2.143
493	2.143
493.5	2.141
494	2.142
494.5	2.143
495	2.145
495.5	2.143
496	2.144
496.5	2.137
497	2.131
497.5	2.129
498	2.129
498.5	2.13
499	2.132
499.5	2.13
500	2.129
500.5	2.127
501	2.126
501.5	2.121
502	2.118
502.5	2.114
503	2.115
503.5	2.117
504	2.113
504.5	2.108
505	2.103
505.5	2.097
506	2.1
506.5	2.1
507	2.096
507.5	2.092
508	2.091
508.5	2.089
509	2.086
509.5	2.079
510	2.079
510.5	2.079
511	2.085
511.5	2.085
512	2.085
512.5	2.086
513	2.084
513.5	2.079
514	2.075
514.5	2.07
515	2.071
515.5	2.071
516	2.065
516.5	2.062
517	2.063
517.5	2.064
518	2.064
518.5	2.061
519	2.059
519.5	2.056
520	2.056
520.5	2.055
521	2.049
521.5	2.046
522	2.046
522.5	2.046
523	2.046
523.5	2.039
524	2.037
524.5	2.034
525	2.035
525.5	2.035
526	2.036
526.5	2.034
527	2.029
527.5	2.024
528	2.019
528.5	2.011
529	2.011
529.5	2.014
530	2.015
530.5	2.019
531	2.023
531.5	2.02
532	2.014
532.5	2.009
533	2.006
533.5	1.999
534	1.996
534.5	1.994
535	1.994
535.5	1.997
536	1.997
536.5	2
537	2.001
537.5	2
538	2
538.5	1.992
539	1.988
539.5	1.981
540	1.972
540.5	1.965
541	1.964
541.5	1.967
542	1.968
542.5	1.966
543	1.966
543.5	1.967
544	1.97
544.5	1.967
545	1.966
545.5	1.964
546	1.964
546.5	1.962
547	1.957
547.5	1.954
548	1.953
548.5	1.947
549	1.944
549.5	1.945
550	1.942
550.5	1.94
551	1.938
551.5	1.932
552	1.929
552.5	1.929
553	1.924
553.5	1.92
554	1.918
554.5	1.92
555	1.917
555.5	1.916
556	1.912
556.5	1.904
557	1.899
557.5	1.899
558	1.897
558.5	1.9
559	1.904
559.5	1.907
560	1.91
560.5	1.909
561	1.908
561.5	1.899
562	1.896
562.5	1.895
563	1.893
563.5	1.891
564	1.891
564.5	1.888
565	1.892
565.5	1.891
566	1.891
566.5	1.887
567	1.89
567.5	1.885
568	1.881
568.5	1.882
569	1.884
569.5	1.883
570	1.883
570.5	1.883
571	1.881
571.5	1.88
572	1.881
572.5	1.877
573	1.877
573.5	1.88
574	1.881
574.5	1.877
575	1.873
575.5	1.872
576	1.868
576.5	1.869
577	1.874
577.5	1.877
578	1.879
578.5	1.878
579	1.874
579.5	1.874
580	1.871
580.5	1.869
581	1.868
581.5	1.866
582	1.865
582.5	1.863
583	1.861
583.5	1.856
584	1.855
584.5	1.858
585	1.857
585.5	1.856
586	1.854
586.5	1.85
587	1.845
587.5	1.844
588	1.844
588.5	1.844
589	1.845
589.5	1.849
590	1.853
590.5	1.858
591	1.861
591.5	1.861
592	1.861
592.5	1.864
593	1.863
593.5	1.859
594	1.854
594.5	1.852
595	1.854
595.5	1.854
596	1.849
596.5	1.848
597	1.848
597.5	1.85
598	1.854
598.5	1.853
599	1.853
599.5	1.852
600	1.853
600.5	1.852
601	1.847
601.5	1.844
602	1.845
602.5	1.844
603	1.841
603.5	1.836
604	1.837
604.5	1.836
605	1.84
605.5	1.842
606	1.845
606.5	1.847
607	1.854
607.5	1.852
608	1.85
608.5	1.851
609	1.858
609.5	1.859
610	1.863
610.5	1.864
611	1.866
611.5	1.87
612	1.872
612.5	1.869
613	1.867
613.5	1.866
614	1.867
614.5	1.868
615	1.87
615.5	1.87
616	1.869
616.5	1.873
617	1.871
617.5	1.87
618	1.87
618.5	1.867
619	1.866
619.5	1.868
620	1.869
620.5	1.872
621	1.874
621.5	1.877
622	1.874
622.5	1.873
623	1.871
623.5	1.871
624	1.87
624.5	1.868
625	1.871
625.5	1.873
626	1.88
626.5	1.887
627	1.889
627.5	1.89
628	1.888
628.5	1.887
629	1.886
629.5	1.883
630	1.884
630.5	1.889
631	1.889
631.5	1.895
632	1.9
632.5	1.904
633	1.9
633.5	1.898
634	1.893
634.5	1.884
635	1.877
635.5	1.876
636	1.867
636.5	1.87
637	1.876
637.5	1.879
638	1.881
638.5	1.886
639	1.886
639.5	1.886
640	1.883
640.5	1.876
641	1.872
641.5	1.875
642	1.874
642.5	1.87
643	1.873
643.5	1.875
644	1.876
644.5	1.878
645	1.873
645.5	1.859
646	1.851
646.5	1.851
647	1.849
647.5	1.847
648	1.855
648.5	1.858
649	1.867
649.5	1.872
650	1.867
650.5	1.858
651	1.846
651.5	1.839
652	1.836
652.5	1.827
653	1.82
653.5	1.818
654	1.821
654.5	1.823
655	1.826
655.5	1.828
656	1.832
656.5	1.829
657	1.832
657.5	1.833
658	1.831
658.5	1.829
659	1.829
659.5	1.824
660	1.825
660.5	1.823
661	1.828
661.5	1.829
662	1.833
662.5	1.84
663	1.846
663.5	1.844
664	1.845
664.5	1.839
665	1.839
665.5	1.836
666	1.837
666.5	1.839
667	1.839
667.5	1.843
668	1.848
668.5	1.849
669	1.853
669.5	1.855
670	1.858
670.5	1.864
671	1.865
671.5	1.867
672	1.864
672.5	1.867
673	1.869
673.5	1.866
674	1.864
674.5	1.864
675	1.865
675.5	1.869
676	1.868
676.5	1.872
677	1.874
677.5	1.879
678	1.883
678.5	1.882
679	1.887
679.5	1.896
680	1.909
680.5	1.914
681	1.917
681.5	1.929
682	1.933
682.5	1.931
683	1.927
683.5	1.926
684	1.919
684.5	1.917
685	1.921
685.5	1.922
686	1.922
686.5	1.926
687	1.919
687.5	1.917
688	1.915
688.5	1.912
689	1.906
689.5	1.902
690	1.901
690.5	1.9
691	1.893
691.5	1.884
692	1.876
692.5	1.872
693	1.872
693.5	1.873
694	1.87
694.5	1.864
695	1.857
695.5	1.85
696	1.843
696.5	1.83
697	1.824
697.5	1.82
698	1.816
698.5	1.818
699	1.814
699.5	1.811
700	1.795
700.5	1.79
701	1.789
701.5	1.788
702	1.791
702.5	1.79
703	1.784
703.5	1.782
704	1.782
704.5	1.781
705	1.771
705.5	1.766
706	1.759
706.5	1.757
707	1.755
707.5	1.744
708	1.729
708.5	1.718
709	1.714
709.5	1.718
710	1.723
710.5	1.724
711	1.724
711.5	1.735
712	1.739
712.5	1.729
713	1.719
713.5	1.708
714	1.695
714.5	1.691
715	1.685
715.5	1.68
716	1.675
716.5	1.676
717	1.674
717.5	1.667
718	1.67
718.5	1.674
719	1.676
719.5	1.681
720	1.681
720.5	1.68
721	1.674
721.5	1.675
722	1.677
722.5	1.665
723	1.663
723.5	1.66
724	1.657
724.5	1.654
725	1.644
725.5	1.632
726	1.625
726.5	1.63
727	1.636
727.5	1.631
728	1.636
728.5	1.635
729	1.64
729.5	1.642
730	1.634
730.5	1.629
731	1.627
731.5	1.628
732	1.633
732.5	1.632
733	1.63
733.5	1.622
734	1.617
734.5	1.612
735	1.601
735.5	1.596
736	1.591
736.5	1.592
737	1.595
737.5	1.59
738	1.59
738.5	1.595
739	1.601
739.5	1.602
740	1.604
740.5	1.61
741	1.607
741.5	1.605
742	1.597
742.5	1.596
743	1.598
743.5	1.597
744	1.594
744.5	1.592
745	1.595
745.5	1.599
746	1.593
746.5	1.59
747	1.586
747.5	1.589
748	1.585
748.5	1.578
749	1.574
749.5	1.569
750	1.566
750.5	1.565
751	1.563
751.5	1.565
752	1.562
752.5	1.56
753	1.554
753.5	1.55
754	1.545
754.5	1.536
755	1.537
755.5	1.537
756	1.541
756.5	1.549
757	1.556
757.5	1.562
758	1.561
758.5	1.566
759	1.563
759.5	1.554
760	1.552
760.5	1.551
761	1.547
761.5	1.55
762	1.558
762.5	1.556
763	1.551
763.5	1.552
764	1.539
764.5	1.528
765	1.522
765.5	1.525
766	1.523
766.5	1.526
767	1.531
767.5	1.528
768	1.525
768.5	1.525
769	1.524
769.5	1.526
770	1.531
770.5	1.537
771	1.536
771.5	1.536
772	1.535
772.5	1.532
773	1.533
773.5	1.541
774	1.546
774.5	1.541
775	1.538
775.5	1.534
776	1.535
776.5	1.53
777	1.531
777.5	1.534
778	1.536
778.5	1.531
779	1.523
779.5	1.513
780	1.504
780.5	1.499
781	1.504
781.5	1.5
782	1.496
782.5	1.492
783	1.492
783.5	1.487
784	1.484
784.5	1.484
785	1.486
785.5	1.489
786	1.491
786.5	1.491
787	1.488
787.5	1.485
788	1.486
788.5	1.483
789	1.476
789.5	1.474
790	1.475
790.5	1.465
791	1.465
791.5	1.469
792	1.472
792.5	1.477
793	1.482
793.5	1.479
794	1.474
794.5	1.466
795	1.464
795.5	1.448
796	1.448
796.5	1.448
797	1.444
797.5	1.45
798	1.452
798.5	1.451
799	1.445
799.5	1.445
800	1.447
800.5	1.451
801	1.459
801.5	1.471
802	1.48
802.5	1.484
803	1.488
803.5	1.486
804	1.469
804.5	1.459
805	1.453
805.5	1.452
806	1.447
806.5	1.452
807	1.456
807.5	1.454
808	1.447
808.5	1.439
809	1.424
809.5	1.42
810	1.421
810.5	1.415
811	1.418
811.5	1.427
812	1.431
812.5	1.436
813	1.434
813.5	1.436
814	1.425
814.5	1.414
815	1.413
815.5	1.41
816	1.41
816.5	1.418
817	1.416
817.5	1.416
818	1.42
818.5	1.417
819	1.41
819.5	1.41
820	1.416
820.5	1.417
821	1.412
821.5	1.421
822	1.423
822.5	1.424
823	1.431
823.5	1.445
824	1.456
824.5	1.455
825	1.448
825.5	1.437
826	1.421
826.5	1.413
827	1.403
827.5	1.396
828	1.397
828.5	1.407
829	1.411
829.5	1.409
830	1.405
830.5	1.408
831	1.406
831.5	1.402
832	1.391
832.5	1.39
833	1.388
833.5	1.381
834	1.379
834.5	1.375
835	1.368
835.5	1.372
836	1.374
836.5	1.372
837	1.376
837.5	1.387
838	1.402
838.5	1.409
839	1.413
839.5	1.412
840	1.402
840.5	1.403
841	1.397
841.5	1.385
842	1.369
842.5	1.365
843	1.369
843.5	1.37
844	1.367
844.5	1.355
845	1.35
845.5	1.352
846	1.355
846.5	1.353
847	1.35
847.5	1.36
848	1.366
848.5	1.376
849	1.381
849.5	1.368
850	1.349
	
	
WT 0.0035M 1:1 sucrose:trehalose	
4/4/2023 5:40 PM	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20333
//WLCalib: 261S 	-0.45
//WLCalib: 362S 	-0.7
//WLCalib: 484S 	-0.73
//WLCalib: 529S 	-0.44
//WLCalib: 823S 	-0.81
//QSpecEnd: 	
190	11.412
190.5	11.669
191	11.983
191.5	12.197
192	12.524
192.5	12.541
193	12.464
193.5	12.453
194	12.377
194.5	12.434
195	12.515
195.5	12.87
196	12.958
196.5	13.023
197	13.324
197.5	13.142
198	13.098
198.5	13.173
199	13.329
199.5	13.459
200	13.729
200.5	13.846
201	13.676
201.5	13.812
202	13.982
202.5	13.872
203	14.238
203.5	14.468
204	14.864
204.5	15.117
205	15.293
205.5	15.46
206	15.469
206.5	15.476
207	15.451
207.5	15.477
208	15.545
208.5	15.519
209	15.576
209.5	15.701
210	15.679
210.5	15.894
211	15.73
211.5	15.477
212	15.312
212.5	14.993
213	14.584
213.5	14.189
214	13.826
214.5	13.41
215	12.948
215.5	12.65
216	12.211
216.5	11.822
217	11.415
217.5	11.063
218	10.72
218.5	10.34
219	9.948
219.5	9.551
220	9.124
220.5	8.736
221	8.378
221.5	8.008
222	7.67
222.5	7.366
223	7.059
223.5	6.739
224	6.436
224.5	6.121
225	5.815
225.5	5.523
226	5.229
226.5	4.945
227	4.685
227.5	4.449
228	4.238
228.5	4.061
229	3.913
229.5	3.776
230	3.657
230.5	3.544
231	3.427
231.5	3.3
232	3.173
232.5	3.054
233	2.929
233.5	2.817
234	2.713
234.5	2.62
235	2.543
235.5	2.471
236	2.409
236.5	2.354
237	2.311
237.5	2.269
238	2.227
238.5	2.184
239	2.145
239.5	2.111
240	2.08
240.5	2.044
241	2.016
241.5	1.993
242	1.974
242.5	1.958
243	1.943
243.5	1.928
244	1.922
244.5	1.914
245	1.904
245.5	1.891
246	1.882
246.5	1.873
247	1.864
247.5	1.859
248	1.853
248.5	1.85
249	1.855
249.5	1.861
250	1.861
250.5	1.858
251	1.854
251.5	1.85
252	1.848
252.5	1.844
253	1.843
253.5	1.841
254	1.845
254.5	1.843
255	1.841
255.5	1.838
256	1.838
256.5	1.839
257	1.838
257.5	1.835
258	1.835
258.5	1.83
259	1.825
259.5	1.818
260	1.819
260.5	1.818
261	1.819
261.5	1.82
262	1.822
262.5	1.825
263	1.831
263.5	1.831
264	1.829
264.5	1.827
265	1.827
265.5	1.825
266	1.822
266.5	1.821
267	1.818
267.5	1.816
268	1.818
268.5	1.817
269	1.815
269.5	1.816
270	1.816
270.5	1.815
271	1.814
271.5	1.809
272	1.805
272.5	1.8
273	1.802
273.5	1.805
274	1.802
274.5	1.804
275	1.803
275.5	1.805
276	1.807
276.5	1.8
277	1.799
277.5	1.797
278	1.8
278.5	1.799
279	1.794
279.5	1.792
280	1.789
280.5	1.789
281	1.781
281.5	1.771
282	1.767
282.5	1.764
283	1.761
283.5	1.76
284	1.761
284.5	1.758
285	1.759
285.5	1.758
286	1.755
286.5	1.749
287	1.743
287.5	1.74
288	1.74
288.5	1.741
289	1.742
289.5	1.74
290	1.742
290.5	1.735
291	1.731
291.5	1.722
292	1.712
292.5	1.709
293	1.707
293.5	1.701
294	1.699
294.5	1.7
295	1.695
295.5	1.688
296	1.684
296.5	1.68
297	1.677
297.5	1.678
298	1.673
298.5	1.668
299	1.665
299.5	1.665
300	1.662
300.5	1.659
301	1.656
301.5	1.654
302	1.651
302.5	1.648
303	1.646
303.5	1.639
304	1.634
304.5	1.634
305	1.63
305.5	1.623
306	1.618
306.5	1.613
307	1.611
307.5	1.608
308	1.608
308.5	1.603
309	1.601
309.5	1.598
310	1.592
310.5	1.585
311	1.579
311.5	1.577
312	1.573
312.5	1.566
313	1.562
313.5	1.56
314	1.557
314.5	1.555
315	1.555
315.5	1.556
316	1.553
316.5	1.551
317	1.546
317.5	1.542
318	1.537
318.5	1.533
319	1.531
319.5	1.529
320	1.529
320.5	1.525
321	1.52
321.5	1.518
322	1.512
322.5	1.507
323	1.504
323.5	1.501
324	1.501
324.5	1.495
325	1.496
325.5	1.493
326	1.493
326.5	1.49
327	1.484
327.5	1.481
328	1.478
328.5	1.477
329	1.476
329.5	1.478
330	1.48
330.5	1.475
331	1.473
331.5	1.47
332	1.467
332.5	1.464
333	1.46
333.5	1.456
334	1.45
334.5	1.445
335	1.437
335.5	1.436
336	1.44
336.5	1.444
337	1.445
337.5	1.448
338	1.447
338.5	1.442
339	1.442
339.5	1.436
340	1.433
340.5	1.434
341	1.434
341.5	1.431
342	1.426
342.5	1.425
343	1.422
343.5	1.418
344	1.416
344.5	1.415
345	1.413
345.5	1.41
346	1.41
346.5	1.408
347	1.404
347.5	1.403
348	1.403
348.5	1.398
349	1.396
349.5	1.393
350	1.389
350.5	1.384
351	1.382
351.5	1.377
352	1.374
352.5	1.374
353	1.374
353.5	1.37
354	1.371
354.5	1.371
355	1.37
355.5	1.368
356	1.367
356.5	1.363
357	1.361
357.5	1.357
358	1.351
358.5	1.349
359	1.347
359.5	1.347
360	1.345
360.5	1.343
361	1.34
361.5	1.336
362	1.333
362.5	1.329
363	1.326
363.5	1.326
364	1.322
364.5	1.322
365	1.321
365.5	1.324
366	1.326
366.5	1.325
367	1.326
367.5	1.323
368	1.317
368.5	1.312
369	1.311
369.5	1.307
370	1.305
370.5	1.303
371	1.306
371.5	1.305
372	1.302
372.5	1.297
373	1.293
373.5	1.294
374	1.294
374.5	1.293
375	1.289
375.5	1.288
376	1.294
376.5	1.29
377	1.288
377.5	1.291
378	1.29
378.5	1.29
379	1.287
379.5	1.286
380	1.281
380.5	1.279
381	1.28
381.5	1.276
382	1.275
382.5	1.278
383	1.275
383.5	1.272
384	1.271
384.5	1.269
385	1.269
385.5	1.269
386	1.273
386.5	1.274
387	1.273
387.5	1.279
388	1.275
388.5	1.273
389	1.269
389.5	1.265
390	1.264
390.5	1.261
391	1.259
391.5	1.256
392	1.253
392.5	1.256
393	1.257
393.5	1.258
394	1.259
394.5	1.259
395	1.259
395.5	1.258
396	1.255
396.5	1.251
397	1.248
397.5	1.246
398	1.246
398.5	1.245
399	1.244
399.5	1.244
400	1.245
400.5	1.244
401	1.242
401.5	1.241
402	1.239
402.5	1.235
403	1.235
403.5	1.232
404	1.231
404.5	1.231
405	1.231
405.5	1.231
406	1.232
406.5	1.235
407	1.234
407.5	1.233
408	1.238
408.5	1.236
409	1.235
409.5	1.234
410	1.228
410.5	1.227
411	1.227
411.5	1.229
412	1.23
412.5	1.235
413	1.237
413.5	1.236
414	1.234
414.5	1.231
415	1.228
415.5	1.228
416	1.231
416.5	1.234
417	1.235
417.5	1.235
418	1.234
418.5	1.234
419	1.234
419.5	1.234
420	1.233
420.5	1.233
421	1.235
421.5	1.234
422	1.233
422.5	1.233
423	1.233
423.5	1.233
424	1.235
424.5	1.237
425	1.236
425.5	1.235
426	1.235
426.5	1.233
427	1.233
427.5	1.233
428	1.233
428.5	1.235
429	1.237
429.5	1.238
430	1.239
430.5	1.24
431	1.24
431.5	1.24
432	1.241
432.5	1.241
433	1.243
433.5	1.246
434	1.245
434.5	1.245
435	1.248
435.5	1.247
436	1.246
436.5	1.244
437	1.243
437.5	1.243
438	1.246
438.5	1.25
439	1.254
439.5	1.257
440	1.259
440.5	1.26
441	1.261
441.5	1.263
442	1.264
442.5	1.264
443	1.267
443.5	1.265
444	1.266
444.5	1.265
445	1.263
445.5	1.264
446	1.264
446.5	1.264
447	1.26
447.5	1.256
448	1.252
448.5	1.249
449	1.249
449.5	1.252
450	1.252
450.5	1.253
451	1.253
451.5	1.254
452	1.254
452.5	1.25
453	1.248
453.5	1.245
454	1.242
454.5	1.24
455	1.236
455.5	1.234
456	1.233
456.5	1.234
457	1.233
